pair,direction,entry_time,exit_time,entry_price,initial_risk,exit_reason,n_levels_hit,fraction_via_tp,r_gross,cost_r,commission_r,r_net,leverage_ratio,risk_dollars,effective_risk_pct,leverage_capped,dollar_pnl,balance_after
USD_JPY,UP,2024-12-13 17:05:00+09:00,2024-12-13 17:50:00+09:00,152.839,0.089156,SL_INITIAL_NO_TP,0,0.0,3.030423,0.235544,0.068572,2.726307,1714.296931,25.902009,0.01,False,70.616839,2660.817764
USD_JPY,UP,2024-12-13 18:00:00+09:00,2024-12-13 18:25:00+09:00,153.133,0.07095,SL_INITIAL_NO_TP,0,0.0,1.000873,0.295982,0.086332,0.618559,2158.311898,26.608178,0.01,False,16.458722,2677.276485
EUR_JPY,UP,2024-12-13 18:10:00+09:00,2024-12-13 19:35:00+09:00,160.417,0.186622,SL_INITIAL_NO_TP,0,0.0,2.913091,0.133961,0.034383,2.744747,859.584775,26.608178,0.01,False,73.032718,2808.076211
USD_JPY,UP,2024-12-13 18:30:00+09:00,2024-12-13 19:00:00+09:00,153.23,0.074381,SL_INITIAL_NO_TP,0,0.0,2.522412,0.282331,0.082403,2.157678,2060.07306,26.772765,0.01,False,57.767007,2735.043492
EUR_JPY,UP,2024-12-13 19:50:00+09:00,2024-12-13 20:10:00+09:00,160.877,0.084241,SL_INITIAL_NO_TP,0,0.0,1.061136,0.296767,0.076389,0.68798,1909.718436,28.080762,0.01,False,19.319005,2827.395216
USD_JPY,UP,2024-12-13 20:10:00+09:00,2024-12-13 21:05:00+09:00,153.51,0.096497,SL_INITIAL_NO_TP,0,0.0,0.857444,0.217623,0.063633,0.576189,1590.823125,28.080762,0.01,False,16.179817,2843.575032
EUR_JPY,UP,2024-12-13 20:40:00+09:00,2024-12-13 21:10:00+09:00,161.089,0.08424,SL_INITIAL_NO_TP,0,0.0,0.351197,0.296771,0.076491,-0.022064,1912.262583,28.273952,0.01,False,-0.623847,2842.951185
EUR_JPY,UP,2024-12-13 22:05:00+09:00,2024-12-13 22:30:00+09:00,161.456,0.176554,SL_INITIAL_NO_TP,0,0.0,-1.0,0.1416,0.036579,-1.178179,914.484347,28.429512,0.01,False,-33.495054,2809.456131
USD_JPY,UP,2024-12-14 00:05:00+09:00,2024-12-14 01:10:00+09:00,153.546,0.101808,SL_INITIAL_NO_TP,0,0.0,0.655375,0.20627,0.060328,0.388778,1508.187658,28.094561,0.01,False,10.922542,2820.378673
USD_JPY,UP,2024-12-14 01:20:00+09:00,2024-12-14 02:25:00+09:00,153.645,0.133306,SL_INITIAL_NO_TP,0,0.0,0.861583,0.157532,0.046103,0.657948,1152.572542,28.203787,0.01,False,18.55662,2838.935293
